Well,OD,mCherry,Inducer,Concentration,Plate,Day
A9,0.414299995,5425,Gamma-heptalactone,0.1953125,26,5
A10,0.417800009,5399,Gamma-heptalactone,0.09765625,26,5
A11,0.413800001,5396,Gamma-heptalactone,0.048828125,26,5
A12,0.417800009,5437,Gamma-heptalactone,0,26,5
B1,0.158099994,2757,Gamma-heptalactone,50,26,5
B2,0.188999996,3284,Gamma-heptalactone,25,26,5
B3,0.304699987,4268,Gamma-heptalactone,12.5,26,5
B4,0.378300011,4951,Gamma-heptalactone,6.25,26,5
B5,0.400000006,5505,Gamma-heptalactone,3.125,26,5
B6,0.432799995,5796,Gamma-heptalactone,1.5625,26,5
B7,0.426099986,5591,Gamma-heptalactone,0.78125,26,5
B8,0.440299988,5566,Gamma-heptalactone,0.390625,26,5
B9,0.41839999,5557,Gamma-heptalactone,0.1953125,26,5
B10,0.416299999,5787,Gamma-heptalactone,0.09765625,26,5
B11,0.410600007,5659,Gamma-heptalactone,0.048828125,26,5
B12,0.393599987,5428,Gamma-heptalactone,0,26,5
C1,0.144999996,2768,Gamma-heptalactone,50,26,5
C2,0.180399999,3213,Gamma-heptalactone,25,26,5
C3,0.291000009,4078,Gamma-heptalactone,12.5,26,5
C4,0.347200006,4812,Gamma-heptalactone,6.25,26,5
C5,0.383399993,5242,Gamma-heptalactone,3.125,26,5
C6,0.398499995,5289,Gamma-heptalactone,1.5625,26,5
C7,0.409299999,5319,Gamma-heptalactone,0.78125,26,5
C8,0.396200001,5051,Gamma-heptalactone,0.390625,26,5
C9,0.413399994,5362,Gamma-heptalactone,0.1953125,26,5
C10,0.407000005,5276,Gamma-heptalactone,0.09765625,26,5
C11,0.400700003,5212,Gamma-heptalactone,0.048828125,26,5
C12,0.379700005,5280,Gamma-heptalactone,0,26,5
D1,0.139300004,2704,Gamma-heptalactone,50,26,5
D2,0.169400007,3152,Gamma-heptalactone,25,26,5
D3,0.300399989,4083,Gamma-heptalactone,12.5,26,5
D4,0.353599995,4790,Gamma-heptalactone,6.25,26,5
D5,0.396699995,5013,Gamma-heptalactone,3.125,26,5
D6,0.389200002,4983,Gamma-heptalactone,1.5625,26,5
D7,0.397500008,5105,Gamma-heptalactone,0.78125,26,5
D8,0.412099987,5220,Gamma-heptalactone,0.390625,26,5
D9,0.403400004,5148,Gamma-heptalactone,0.1953125,26,5
D10,0.427599996,5330,Gamma-heptalactone,0.09765625,26,5
D11,0.4014,5214,Gamma-heptalactone,0.048828125,26,5
D12,0.389600009,5154,Gamma-heptalactone,0,26,5
E1,0.242200002,4083,Delta-dodecalactone,25,26,5
E2,0.123800002,3760,Delta-dodecalactone,12.5,26,5
E3,0.231099993,4012,Delta-dodecalactone,6.25,26,5
E4,0.752699971,5197,Delta-dodecalactone,3.125,26,5
E5,0.263500005,4964,Delta-dodecalactone,1.5625,26,5
E6,0.4005,4702,Delta-dodecalactone,0.78125,26,5
E7,0.447100013,4816,Delta-dodecalactone,0.390625,26,5
E8,0.431499988,4994,Delta-dodecalactone,0.1953125,26,5
E9,0.437599987,5144,Delta-dodecalactone,0.09765625,26,5
E10,0.41839999,5293,Delta-dodecalactone,0.048828125,26,5
E11,0.41839999,5628,Delta-dodecalactone,0.024414063,26,5
E12,0.410400003,5366,Delta-dodecalactone,0,26,5
F1,0.1149,3651,Delta-dodecalactone,25,26,5
F2,0.105499998,3716,Delta-dodecalactone,12.5,26,5
F3,0.1118,3619,Delta-dodecalactone,6.25,26,5
F4,0.115099996,3834,Delta-dodecalactone,3.125,26,5
F5,0.257200003,4340,Delta-dodecalactone,1.5625,26,5
F6,0.564599991,5634,Delta-dodecalactone,0.78125,26,5
F7,0.408800006,4995,Delta-dodecalactone,0.390625,26,5
F8,0.409500003,4966,Delta-dodecalactone,0.1953125,26,5
F9,0.407700002,5134,Delta-dodecalactone,0.09765625,26,5
F10,0.412499994,5318,Delta-dodecalactone,0.048828125,26,5
F11,0.390100002,5373,Delta-dodecalactone,0.024414063,26,5
F12,0.376199991,4949,Delta-dodecalactone,0,26,5
G1,0.116400003,3702,Delta-dodecalactone,25,26,5
G2,0.144299999,3741,Delta-dodecalactone,12.5,26,5
G3,0.135499999,3763,Delta-dodecalactone,6.25,26,5
G4,0.1303,3867,Delta-dodecalactone,3.125,26,5
G5,0.258300006,4638,Delta-dodecalactone,1.5625,26,5
G6,0.372799993,4516,Delta-dodecalactone,0.78125,26,5
G7,0.397700012,5060,Delta-dodecalactone,0.390625,26,5
G8,0.411799997,4785,Delta-dodecalactone,0.1953125,26,5
G9,0.41080001,5095,Delta-dodecalactone,0.09765625,26,5
G10,0.407499999,5190,Delta-dodecalactone,0.048828125,26,5
G11,0.405200005,5355,Delta-dodecalactone,0.024414063,26,5
G12,0.394300014,5168,Delta-dodecalactone,0,26,5
H1,0.138999999,3756,Delta-dodecalactone,25,26,5
H2,0.385199994,4122,Delta-dodecalactone,12.5,26,5
H3,0.131600007,3795,Delta-dodecalactone,6.25,26,5
H4,0.589600027,5769,Delta-dodecalactone,3.125,26,5
H5,1.225600004,5881,Delta-dodecalactone,1.5625,26,5
H6,0.376300007,4719,Delta-dodecalactone,0.78125,26,5
H7,0.410600007,5133,Delta-dodecalactone,0.390625,26,5
H8,0.417199999,5093,Delta-dodecalactone,0.1953125,26,5
H9,0.41929999,5152,Delta-dodecalactone,0.09765625,26,5
H10,0.421099991,5418,Delta-dodecalactone,0.048828125,26,5
H11,0.41049999,5209,Delta-dodecalactone,0.024414063,26,5
H12,0.401499987,5076,Delta-dodecalactone,0,26,5
A1,0.108099997,2484,Bromocyclohexane,200,27,6
A2,0.089000002,2544,Bromocyclohexane,100,27,6
A3,0.345200002,3913,Bromocyclohexane,50,27,6
A4,0.332700014,4364,Bromocyclohexane,25,27,6
A5,0.323700011,4377,Bromocyclohexane,12.5,27,6
A6,0.327699989,4288,Bromocyclohexane,6.25,27,6
A7,0.33919999,4095,Bromocyclohexane,3.125,27,6
A8,0.348399997,4180,Bromocyclohexane,1.5625,27,6
A9,0.379599988,4118,Bromocyclohexane,0.78125,27,6
A10,0.375800014,4129,Bromocyclohexane,0.390625,27,6
A11,0.368499994,4127,Bromocyclohexane,0.1953125,27,6
A12,0.382400006,4220,Bromocyclohexane,0,27,6
B1,0.196099997,2489,Bromocyclohexane,200,27,6
B2,0.120999999,2605,Bromocyclohexane,100,27,6
B3,0.375499994,4515,Bromocyclohexane,50,27,6
B4,0.354400009,4348,Bromocyclohexane,25,27,6
B5,0.350400001,4410,Bromocyclohexane,12.5,27,6
B6,0.362800002,4157,Bromocyclohexane,6.25,27,6
B7,0.430500001,4383,Bromocyclohexane,3.125,27,6
B8,0.377000004,4078,Bromocyclohexane,1.5625,27,6
B9,0.452499986,4182,Bromocyclohexane,0.78125,27,6
B10,0.380499989,4040,Bromocyclohexane,0.390625,27,6
B11,0.405699998,4130,Bromocyclohexane,0.1953125,27,6
B12,0.395599991,4113,Bromocyclohexane,0,27,6
C1,0.1241,2535,Bromocyclohexane,200,27,6
C2,0.087800004,2502,Bromocyclohexane,100,27,6
C3,0.377299994,4273,Bromocyclohexane,50,27,6
C4,0.342500001,4324,Bromocyclohexane,25,27,6
C5,0.349000007,4333,Bromocyclohexane,12.5,27,6
C6,0.35679999,4154,Bromocyclohexane,6.25,27,6
C7,0.379599988,4172,Bromocyclohexane,3.125,27,6
C8,0.377999991,4081,Bromocyclohexane,1.5625,27,6
C9,0.425999999,4143,Bromocyclohexane,0.78125,27,6
C10,0.376899987,4009,Bromocyclohexane,0.390625,27,6
C11,0.395399988,4161,Bromocyclohexane,0.1953125,27,6
C12,0.379599988,4151,Bromocyclohexane,0,27,6
D1,0.123199999,2536,Bromocyclohexane,200,27,6
D2,0.108400002,2492,Bromocyclohexane,100,27,6
D3,0.358399987,4341,Bromocyclohexane,50,27,6
D4,0.360199988,4565,Bromocyclohexane,25,27,6
D5,0.344199985,4335,Bromocyclohexane,12.5,27,6
D6,0.362199992,4387,Bromocyclohexane,6.25,27,6
D7,0.359600008,4143,Bromocyclohexane,3.125,27,6
D8,0.363700002,3980,Bromocyclohexane,1.5625,27,6
D9,0.383700013,4205,Bromocyclohexane,0.78125,27,6
D10,0.384600013,4109,Bromocyclohexane,0.390625,27,6
D11,0.372900009,4033,Bromocyclohexane,0.1953125,27,6
D12,0.369700015,4105,Bromocyclohexane,0,27,6
E1,0.275099993,2939,D-Glucose,50,27,6
E2,0.306899995,3159,D-Glucose,25,27,6
E3,0.378500015,3489,D-Glucose,12.5,27,6
E4,0.387600005,3967,D-Glucose,6.25,27,6
E5,0.353700012,3782,D-Glucose,3.125,27,6
E6,0.349099994,3826,D-Glucose,1.5625,27,6
E7,0.349900007,3896,D-Glucose,0.78125,27,6
E8,0.353399992,4035,D-Glucose,0.390625,27,6
E9,0.354900002,3923,D-Glucose,0.1953125,27,6
E10,0.360300004,3895,D-Glucose,0.09765625,27,6
E11,0.352800012,3879,D-Glucose,0.048828125,27,6
E12,0.351099998,3846,D-Glucose,0,27,6
F1,0.234799996,2745,D-Glucose,50,27,6
F2,0.258300006,2949,D-Glucose,25,27,6
F3,0.291500002,3269,D-Glucose,12.5,27,6
F4,0.404900014,4147,D-Glucose,6.25,27,6
F5,0.352400005,3917,D-Glucose,3.125,27,6
F6,0.352200001,4029,D-Glucose,1.5625,27,6
F7,0.368699998,4136,D-Glucose,0.78125,27,6
F8,0.371399999,4095,D-Glucose,0.390625,27,6
F9,0.377900004,4098,D-Glucose,0.1953125,27,6
F10,0.375099987,4047,D-Glucose,0.09765625,27,6
F11,0.37560001,4091,D-Glucose,0.048828125,27,6
F12,0.371699989,4114,D-Glucose,0,27,6
G1,0.199200004,2717,D-Glucose,50,27,6
G2,0.209000006,2777,D-Glucose,25,27,6
G3,0.254099995,3098,D-Glucose,12.5,27,6
G4,0.321700007,3626,D-Glucose,6.25,27,6
G5,0.341199994,4045,D-Glucose,3.125,27,6
G6,0.338,4060,D-Glucose,1.5625,27,6
G7,0.342400014,4043,D-Glucose,0.78125,27,6
G8,0.338800013,3960,D-Glucose,0.390625,27,6
G9,0.351599991,4109,D-Glucose,0.1953125,27,6
G10,0.344599992,4012,D-Glucose,0.09765625,27,6
G11,0.344900012,3926,D-Glucose,0.048828125,27,6
G12,0.337799996,3962,D-Glucose,0,27,6
H1,0.205899999,2666,D-Glucose,50,27,6
H2,0.211400002,2705,D-Glucose,25,27,6
H3,0.277099997,3027,D-Glucose,12.5,27,6
H4,0.435699999,3805,D-Glucose,6.25,27,6
